CHAMPION_ID,CHAMPION_NAME,MOST_PICKED_LANE,PRIMARY_LANE_SHARE,GLOBAL_GAMES_PLAYED,GLOBAL_PICK_RATE,GLOBAL_WIN_RATE,GLOBAL_BAN_RATE
800,Mel,Middle,0.5708,240,0.0408,0.4664,0.186
10,Kayle,Top,0.6834,259,0.044,0.5116,0.0414
245,Ekko,Jungle,0.6189,774,0.1315,0.5294,0.2471
143,Zyra,Jungle,0.3851,161,0.0273,0.4528,0.0061
78,Poppy,Support,0.543,186,0.0316,0.5714,0.0416
157,Yasuo,Middle,0.6199,863,0.1466,0.4994,0.1316
50,Swain,Bottom,0.4216,370,0.0628,0.4563,0.0107
84,Akali,Middle,0.7667,540,0.0917,0.486,0.2383
799,Ambessa,Top,0.6198,697,0.1184,0.4766,0.1668
266,Aatrox,Top,0.6646,480,0.0815,0.4444,0.0489
22,Ashe,Bottom,0.9025,277,0.047,0.5036,0.0065
150,Gnar,Top,0.9904,209,0.0355,0.4806,0.0071
200,Belveth,Jungle,0.9853,136,0.0231,0.5333,0.0817
82,Mordekaiser,Top,0.8514,175,0.0297,0.4057,0.01
112,Viktor,Middle,0.9228,272,0.0462,0.4815,0.0119
950,Naafiri,Middle,0.4144,473,0.0803,0.4473,0.0853
13,Ryze,Middle,0.822,809,0.1374,0.4566,0.0861
16,Soraka,Support,0.9531,277,0.047,0.5018,0.0095
25,Morgana,Support,0.5379,145,0.0246,0.5245,0.017
8,Vladimir,Middle,0.4681,329,0.0559,0.5,0.0518
55,Katarina,Middle,0.9478,479,0.0814,0.5116,0.1286
876,Lillia,Jungle,1,105,0.0178,0.3558,0.0054
222,Jinx,Bottom,0.9971,690,0.1172,0.5022,0.0148
166,Akshan,Middle,0.9188,345,0.0586,0.5279,0.1172
28,Evelynn,Jungle,1,111,0.0189,0.4324,0.0231
60,Elise,Jungle,0.5627,343,0.0583,0.4655,0.0384
555,Pyke,Support,0.9703,370,0.0628,0.5315,0.4022
92,Riven,Top,0.8593,398,0.0676,0.4987,0.1352
131,Diana,Jungle,0.8794,821,0.1394,0.5156,0.392
31,Chogath,Top,0.5768,241,0.0409,0.5021,0.0032
80,Pantheon,Support,0.3466,326,0.0554,0.4907,0.0029
15,Sivir,Bottom,1,408,0.0693,0.4764,0.0409
238,Zed,Middle,0.5213,727,0.1235,0.5098,0.284
498,Xayah,Bottom,0.9846,130,0.0221,0.5,0.0031
888,Renata,Support,0.9651,86,0.0146,0.4302,0.0003
63,Brand,Bottom,0.3684,152,0.0258,0.4702,0.0036
86,Garen,Top,0.9228,246,0.0418,0.4836,0.0136
102,Shyvana,Jungle,0.9615,26,0.0044,0.4231,0.0003
111,Nautilus,Support,0.9709,826,0.1403,0.5,0.0932
254,Vi,Jungle,0.9672,122,0.0207,0.5,0.0019
154,Zac,Jungle,0.7979,292,0.0496,0.5417,0.0221
33,Rammus,Jungle,0.9221,77,0.0131,0.4416,0.0041
62,Monkey King,Jungle,0.6264,174,0.0296,0.5,0.0034
103,Ahri,Middle,0.9489,450,0.0764,0.5305,0.0138
58,Renekton,Top,0.9456,423,0.0718,0.4904,0.0613
48,Trundle,Top,0.4043,94,0.016,0.4348,0.0005
117,Lulu,Support,0.9856,693,0.1177,0.5184,0.0559
64,Lee Sin,Jungle,0.87,454,0.0771,0.4633,0.0224
21,Miss Fortune,Bottom,0.9788,283,0.0481,0.4786,0.0149
122,Darius,Top,0.9531,277,0.047,0.4708,0.0858
32,Amumu,Jungle,0.6625,80,0.0136,0.481,0.0037
34,Anivia,Middle,0.6818,286,0.0486,0.5123,0.0229
44,Taric,Support,0.9935,153,0.026,0.5066,0.0056
69,Cassiopeia,Middle,0.4916,238,0.0404,0.5381,0.0311
234,Viego,Jungle,0.9354,913,0.1551,0.4751,0.1252
6,Urgot,Top,0.9774,221,0.0375,0.4931,0.0053
145,Kaisa,Bottom,0.964,861,0.1462,0.4935,0.009
51,Caitlyn,Bottom,0.9882,764,0.1298,0.5,0.1265
120,Hecarim,Jungle,1,270,0.0459,0.5019,0.0328
38,Kassadin,Middle,0.9827,520,0.0883,0.5088,0.1554
223,Tahm Kench,Support,0.5618,89,0.0151,0.4607,0.0024
516,Ornn,Top,0.985,334,0.0567,0.5468,0.0022
41,Gangplank,Top,0.9521,355,0.0603,0.5229,0.02
61,Orianna,Middle,0.9798,397,0.0674,0.5077,0.0287
804,Yunara,Bottom,0.9976,828,0.1406,0.4982,0.0467
45,Veigar,Middle,0.636,250,0.0425,0.551,0.0027
523,Aphelios,Bottom,0.9887,705,0.1197,0.5259,0.1102
421,Rek Sai,Jungle,0.8706,286,0.0486,0.5371,0.0172
72,Skarner,Jungle,0.9231,39,0.0066,0.4359,0.0003
30,Karthus,Jungle,0.5496,262,0.0445,0.4808,0.0141
121,Khazix,Jungle,0.9902,610,0.1036,0.5033,0.0819
81,Ezreal,Bottom,0.9615,571,0.097,0.4413,0.0155
4,Twisted Fate,Middle,0.9459,296,0.0503,0.471,0.0034
91,Talon,Jungle,0.8289,485,0.0824,0.5073,0.2872
902,Milio,Support,0.9918,368,0.0625,0.5152,0.0277
39,Irelia,Top,0.6892,444,0.0754,0.4852,0.1388
897,KSante,Top,0.931,290,0.0493,0.5141,0.0131
268,Azir,Middle,0.9618,131,0.0222,0.3893,0.0039
221,Zeri,Bottom,0.9677,248,0.0421,0.5123,0.0019
40,Janna,Support,0.9893,561,0.0953,0.5298,0.0503
360,Samira,Bottom,0.9822,225,0.0382,0.5596,0.0182
113,Sejuani,Jungle,0.6548,84,0.0143,0.5238,0.0003
57,Maokai,Support,0.7397,73,0.0124,0.5,0.0003
105,Fizz,Middle,0.9392,181,0.0307,0.5056,0.0165
35,Shaco,Jungle,0.8258,310,0.0526,0.5049,0.0956
79,Gragas,Top,0.6415,212,0.036,0.4857,0.0039
147,Seraphine,Support,0.5125,281,0.0477,0.5125,0.0017
3,Galio,Middle,0.8161,348,0.0591,0.523,0.0132
23,Tryndamere,Top,0.7961,103,0.0175,0.4466,0.0087
11,Master Yi,Jungle,0.8984,246,0.0418,0.4876,0.0559
96,Kog Maw,Bottom,0.8108,148,0.0251,0.5473,0.0027
233,Briar,Jungle,0.8448,116,0.0197,0.531,0.0119
59,Jarvan IV,Jungle,0.9741,540,0.0917,0.4813,0.0243
17,Teemo,Top,0.7571,70,0.0119,0.4706,0.0061
68,Rumble,Top,0.8416,322,0.0547,0.5492,0.0396
2,Olaf,Top,0.9072,194,0.0329,0.4555,0.0206
5,Xin Zhao,Jungle,0.8951,143,0.0243,0.4929,0.0037
875,Sett,Top,0.931,203,0.0345,0.4372,0.0073
201,Braum,Support,0.997,661,0.1123,0.5008,0.2019
83,Yorick,Top,0.9706,136,0.0231,0.5037,0.0185
134,Syndra,Middle,0.9232,573,0.0973,0.5355,0.1068
126,Jayce,Jungle,0.5456,702,0.1192,0.4877,0.1622
27,Singed,Top,0.788,217,0.0369,0.507,0.0119
136,Aurelion Sol,Middle,0.5541,231,0.0392,0.4574,0.0059
12,Alistar,Support,0.9927,409,0.0695,0.5333,0.029
53,Blitzcrank,Support,0.9821,224,0.038,0.4842,0.053
18,Tristana,Bottom,0.7744,399,0.0678,0.4975,0.0199
164,Camille,Top,0.8846,156,0.0265,0.5987,0.0066
711,Vex,Middle,0.9333,135,0.0229,0.4889,0.017
90,Malzahar,Middle,0.8795,166,0.0282,0.4938,0.0144
99,Lux,Middle,0.3959,293,0.0498,0.531,0.0022
26,Zilean,Support,0.6918,279,0.0474,0.529,0.0248
910,Hwei,Middle,0.7379,206,0.035,0.5172,0.0097
163,Taliyah,Middle,0.5231,497,0.0844,0.5337,0.0251
901,Smolder,Bottom,0.8009,422,0.0717,0.4892,0.0197
895,Nilah,Bottom,0.9913,115,0.0195,0.4956,0.0277
202,Jhin,Bottom,0.9898,588,0.0999,0.5034,0.0036
235,Senna,Support,0.8913,276,0.0469,0.5147,0.0039
142,Zoe,Middle,0.8408,289,0.0491,0.5174,0.0326
887,Gwen,Jungle,0.48,500,0.0849,0.5374,0.1804
107,Rengar,Jungle,0.9606,381,0.0647,0.5556,0.3045
777,Yone,Middle,0.5459,381,0.0647,0.4814,0.0102
75,Nasus,Top,0.7007,147,0.025,0.6014,0.0078
7,Leblanc,Middle,0.84,275,0.0467,0.5165,0.1513
98,Shen,Top,0.9234,274,0.0465,0.5333,0.0058
429,Kalista,Bottom,0.8679,106,0.018,0.5238,0.0019
141,Kayn,Jungle,0.8889,180,0.0306,0.4494,0.0082
427,Ivern,Jungle,0.8503,187,0.0318,0.5109,0.0129
893,Aurora,Middle,0.5919,223,0.0379,0.5,0.0214
240,Kled,Top,0.9541,109,0.0185,0.4815,0.0061
89,Leona,Support,0.9949,391,0.0664,0.5337,0.0156
106,Volibear,Jungle,0.6708,562,0.0954,0.5271,0.062
236,Lucian,Bottom,0.9634,464,0.0788,0.4717,0.0345
77,Udyr,Jungle,0.7712,153,0.026,0.3867,0.0119
101,Xerath,Middle,0.8047,169,0.0287,0.5152,0.0034
1,Annie,Middle,0.7091,55,0.0093,0.4364,0.0008
497,Rakan,Support,0.985,466,0.0791,0.4891,0.007
74,Heimerdinger,Top,0.5167,60,0.0102,0.4068,0.0015
432,Bard,Support,0.9771,612,0.1039,0.4653,0.1199
115,Ziggs,Bottom,0.8167,180,0.0306,0.452,0.0032
246,Qiyana,Jungle,0.4706,527,0.0895,0.4914,0.1573
161,Velkoz,Middle,0.4267,300,0.051,0.5238,0.007
114,Fiora,Top,0.9401,284,0.0482,0.5556,0.1568
412,Thresh,Support,0.9934,602,0.1022,0.4891,0.0287
104,Graves,Jungle,0.8855,131,0.0222,0.4962,0.0039
76,Nidalee,Jungle,0.6216,185,0.0314,0.5165,0.0092
36,Dr Mundo,Jungle,0.5383,561,0.0953,0.5305,0.0712
420,Illaoi,Top,0.9516,62,0.0105,0.4426,0.0068
43,Karma,Support,0.9435,673,0.1143,0.476,0.0513
20,Nunu,Jungle,0.9171,205,0.0348,0.5572,0.027
133,Quinn,Top,0.5893,112,0.019,0.5,0.0109
19,Warwick,Top,0.5507,138,0.0234,0.4586,0.0039
29,Twitch,Bottom,0.9588,437,0.0742,0.4455,0.0493
54,Malphite,Top,0.7186,469,0.0797,0.4914,0.2425
518,Neeko,Support,0.8153,287,0.0487,0.5106,0.0148
67,Vayne,Bottom,0.5299,585,0.0994,0.5043,0.0841
110,Varus,Bottom,0.6616,1114,0.1892,0.4891,0.4837
203,Kindred,Jungle,0.9774,133,0.0226,0.4962,0.0131
9,Fiddlesticks,Jungle,0.6344,227,0.0386,0.5158,0.0189
119,Draven,Bottom,0.973,333,0.0566,0.5378,0.3376
56,Nocturne,Jungle,0.968,125,0.0212,0.5,0.0124
42,Corki,Bottom,0.8923,678,0.1151,0.4903,0.0397
350,Yuumi,Support,0.9942,173,0.0294,0.4678,0.0117
14,Sion,Top,0.7787,375,0.0637,0.5217,0.009
85,Kennen,Top,0.8367,251,0.0426,0.5466,0.0214
37,Sona,Support,0.9878,492,0.0836,0.5248,0.0214
267,Nami,Support,0.9954,1090,0.1851,0.4912,0.0212
24,Jax,Top,0.7276,492,0.0836,0.5309,0.1551
127,Lissandra,Middle,0.9242,132,0.0224,0.5344,0.0061
904,Zaahen,Top,0.887,407,0.0691,0.5138,0.0594
517,Sylas,Middle,0.529,620,0.1053,0.5329,0.091
526,Rell,Support,0.997,336,0.0571,0.4488,0.0087
